<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,%K,%D,Signal SO
EURJPY,20010102,230100,108.81,108.81,108.81,108.81,4,,,
EURJPY,20010102,230200,108.81,108.81,108.79,108.79,4,,,
EURJPY,20010102,230300,108.79,108.8,108.79,108.8,4,,,
EURJPY,20010102,230400,108.8,108.81,108.8,108.81,4,,,
EURJPY,20010102,230500,108.81,108.81,108.81,108.81,4,,,
EURJPY,20010102,230600,108.81,108.81,108.81,108.81,4,,,
EURJPY,20010102,230700,108.81,108.82,108.81,108.82,4,,,
EURJPY,20010102,230800,108.82,108.83,108.82,108.82,4,,,
EURJPY,20010102,230900,108.82,108.82,108.82,108.82,4,,,
EURJPY,20010102,231000,108.82,108.82,108.82,108.82,4,,,
EURJPY,20010102,231100,108.82,108.83,108.82,108.83,4,,,
EURJPY,20010102,231200,108.83,108.83,108.83,108.83,4,,,
EURJPY,20010102,231300,108.83,108.83,108.83,108.83,4,,,
EURJPY,20010102,231400,108.83,108.83,108.81,108.81,4,50.0,,
EURJPY,20010102,231500,108.8,108.8,108.8,108.8,4,24.999999999982236,,
EURJPY,20010102,231600,108.79,108.79,108.78,108.78,4,0.0,24.999999999994078,0.0
EURJPY,20010102,232000,108.78,108.78,108.78,108.78,4,0.0,8.333333333327412,0.0
EURJPY,20010102,232100,108.77,108.77,108.77,108.77,4,0.0,0.0,0.0
EURJPY,20010102,232200,108.77,108.77,108.77,108.77,4,0.0,0.0,0.0
EURJPY,20010102,232300,108.77,108.77,108.77,108.77,4,0.0,0.0,0.0
EURJPY,20010102,232400,108.77,108.78,108.77,108.78,4,16.666666666674562,5.555555555558187,1.0
EURJPY,20010102,232500,108.78,108.78,108.77,108.77,4,0.0,5.555555555558187,0.0
EURJPY,20010102,232600,108.77,108.77,108.77,108.77,4,0.0,5.555555555558187,0.0
EURJPY,20010102,232700,108.77,108.77,108.77,108.77,4,0.0,0.0,0.0
EURJPY,20010102,233000,108.77,108.77,108.77,108.77,4,0.0,0.0,0.0
EURJPY,20010102,233100,108.77,108.77,108.77,108.77,4,0.0,0.0,0.0
EURJPY,20010102,233500,108.79,108.79,108.79,108.79,4,33.333333333349124,11.111111111116374,1.0
EURJPY,20010102,233600,108.8,108.8,108.8,108.8,4,100.0,44.44444444444971,0.0
EURJPY,20010102,233700,108.8,108.8,108.79,108.8,4,100.0,77.77777777778304,0.0
EURJPY,20010102,233800,108.8,108.81,108.8,108.8,4,74.99999999999112,91.66666666666372,0.0
EURJPY,20010102,233900,108.8,108.8,108.8,108.8,4,74.99999999999112,83.33333333332742,0.0
EURJPY,20010102,234000,108.8,108.8,108.8,108.8,4,74.99999999999112,74.99999999999112,0.0
EURJPY,20010102,234100,108.79,108.79,108.79,108.79,4,50.000000000017764,66.66666666666667,0.0
