<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,26 ema,12 ema,MACD,Signal Line,Signal Line Crossover,Centerline Crossover,Signal MACD
EURJPY,20010102,230100,108.81,108.81,108.81,108.81,4,108.81,108.81,0.0,0.0,0,0,0
EURJPY,20010102,230200,108.81,108.81,108.79,108.79,4,108.80851851851853,108.80692307692308,-0.001595441595441116,-0.0003190883190882232,-1,-1,-1
EURJPY,20010102,230300,108.79,108.8,108.79,108.8,4,108.80788751714678,108.80585798816568,-0.002029528981097428,-0.0006611764514900642,-1,-1,0
EURJPY,20010102,230400,108.8,108.81,108.8,108.81,4,108.80804399735814,108.80649522075558,-0.0015487766025614746,-0.0008386964817043463,-1,-1,0
EURJPY,20010102,230500,108.81,108.81,108.81,108.81,4,108.80818888644272,108.80703441756242,-0.0011544688803013514,-0.0009018509614237474,-1,-1,0
EURJPY,20010102,230600,108.81,108.81,108.81,108.81,4,108.80832304300252,108.80749066101436,-0.0008323819881610461,-0.0008879571667712072,1,-1,1
EURJPY,20010102,230700,108.81,108.82,108.81,108.82,4,108.8091880027801,108.80941517470444,0.00022717192433674427,-0.0006649313485496169,1,1,0
EURJPY,20010102,230800,108.82,108.83,108.82,108.82,4,108.80998889146306,108.8110436093653,0.0010547179022353248,-0.0003210014983926286,1,1,0
EURJPY,20010102,230900,108.82,108.82,108.82,108.82,4,108.81073045505839,108.81242151561679,0.0016910605584001814,8.14109129659334e-05,1,1,0
EURJPY,20010102,231000,108.82,108.82,108.82,108.82,4,108.81141708801702,108.81358743629113,0.0021703482741060043,0.0004991983851939476,1,1,0
EURJPY,20010102,231100,108.82,108.83,108.82,108.83,4,108.81279360001577,108.8161124460925,0.0033188460767377137,0.0010631279235027008,1,1,0
EURJPY,20010102,231200,108.83,108.83,108.83,108.83,4,108.81406814816275,108.8182489928475,0.004180844684753993,0.0016866712757529594,1,1,0
EURJPY,20010102,231300,108.83,108.83,108.83,108.83,4,108.81524828533587,108.82005684010173,0.00480855476585873,0.0023110479737741135,1,1,0
EURJPY,20010102,231400,108.83,108.83,108.81,108.81,4,108.81485952345913,108.81850963393222,0.00365011047308883,0.002578860473637057,1,1,0
EURJPY,20010102,231500,108.8,108.8,108.8,108.8,4,108.81375881801772,108.81566199794264,0.0019031799249233927,0.0024437243638943244,-1,1,-1
EURJPY,20010102,231600,108.79,108.79,108.78,108.78,4,108.81125816483122,108.81017553672069,-0.0010826281105238422,0.001738453869010691,-1,-1,0
EURJPY,20010102,232000,108.78,108.78,108.78,108.78,4,108.80894274521408,108.80553314645597,-0.0034095987581110876,0.0007088433435863352,-1,-1,0
EURJPY,20010102,232100,108.77,108.77,108.77,108.77,4,108.80605809742045,108.80006650853967,-0.005991588880775112,-0.0006312431012859542,-1,-1,0
EURJPY,20010102,232200,108.77,108.77,108.77,108.77,4,108.80338712724115,108.79544089184127,-0.007946235399884927,-0.002094241561005749,-1,-1,0
