<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,Signal HA,Signal RSI,Signal SO,Signal Line Crossover,Centerline Crossover,Signal MACD
EURJPY,20010102,230100,108.81,108.81,108.81,108.81,4,0,0,0,0,0,0
EURJPY,20010102,230200,108.81,108.81,108.79,108.79,4,0,0,0,-1,-1,-1
EURJPY,20010102,230300,108.79,108.8,108.79,108.8,4,-1,0,0,-1,-1,0
EURJPY,20010102,230400,108.8,108.81,108.8,108.81,4,0,0,0,-1,-1,0
EURJPY,20010102,230500,108.81,108.81,108.81,108.81,4,1,0,0,-1,-1,0
EURJPY,20010102,230600,108.81,108.81,108.81,108.81,4,1,0,0,1,-1,1
EURJPY,20010102,230700,108.81,108.82,108.81,108.82,4,1,0,0,1,1,0
EURJPY,20010102,230800,108.82,108.83,108.82,108.82,4,1,0,0,1,1,0
EURJPY,20010102,230900,108.82,108.82,108.82,108.82,4,1,0,0,1,1,0
EURJPY,20010102,231000,108.82,108.82,108.82,108.82,4,1,0,0,1,1,0
EURJPY,20010102,231100,108.82,108.83,108.82,108.83,4,1,0,0,1,1,0
EURJPY,20010102,231200,108.83,108.83,108.83,108.83,4,1,0,0,1,1,0
EURJPY,20010102,231300,108.83,108.83,108.83,108.83,4,1,0,0,1,1,0
EURJPY,20010102,231400,108.83,108.83,108.81,108.81,4,0,0,0,1,1,0
EURJPY,20010102,231500,108.8,108.8,108.8,108.8,4,-1,0,0,-1,1,-1
EURJPY,20010102,231600,108.79,108.79,108.78,108.78,4,-1,0,0,-1,-1,0
EURJPY,20010102,232000,108.78,108.78,108.78,108.78,4,-1,0,0,-1,-1,0
EURJPY,20010102,232100,108.77,108.77,108.77,108.77,4,-1,0,0,-1,-1,0
EURJPY,20010102,232200,108.77,108.77,108.77,108.77,4,-1,0,0,-1,-1,0
EURJPY,20010102,232300,108.77,108.77,108.77,108.77,4,-1,0,0,-1,-1,0
EURJPY,20010102,232400,108.77,108.78,108.77,108.78,4,0,0,1,-1,-1,0
EURJPY,20010102,232500,108.78,108.78,108.77,108.77,4,0,0,0,-1,-1,0
EURJPY,20010102,232600,108.77,108.77,108.77,108.77,4,-1,0,0,-1,-1,0
EURJPY,20010102,232700,108.77,108.77,108.77,108.77,4,-1,0,0,-1,-1,0
EURJPY,20010102,233000,108.77,108.77,108.77,108.77,4,-1,0,0,-1,-1,0
EURJPY,20010102,233100,108.77,108.77,108.77,108.77,4,-1,0,0,-1,-1,0
