<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20010102,230300,114.43,114.43,114.43,114.43,4
20010102,230400,114.44,114.44,114.44,114.44,4
20010102,230500,114.44,114.44,114.44,114.44,4
20010102,230700,114.44,114.44,114.44,114.44,4
20010102,230800,114.44,114.44,114.44,114.44,4
20010102,230900,114.44,114.44,114.44,114.44,4
20010102,231100,114.44,114.45,114.44,114.45,4
20010102,231200,114.45,114.45,114.45,114.45,4
20010102,231300,114.45,114.45,114.43,114.43,4
20010102,231400,114.42,114.42,114.41,114.41,4
20010102,231500,114.41,114.41,114.4,114.4,4
20010102,231600,114.4,114.4,114.39,114.39,4
20010102,232000,114.39,114.39,114.38,114.38,4
20010102,232100,114.38,114.38,114.38,114.38,4
20010102,232200,114.38,114.39,114.38,114.39,4
20010102,232300,114.39,114.39,114.39,114.39,4
20010102,232400,114.4,114.4,114.4,114.4,4
20010102,232500,114.39,114.39,114.38,114.38,4
20010102,232600,114.38,114.38,114.38,114.38,4
20010102,232700,114.38,114.38,114.38,114.38,4
20010102,232800,114.37,114.37,114.37,114.37,4
20010102,232900,114.37,114.38,114.37,114.38,4
20010102,233000,114.38,114.38,114.38,114.38,4
20010102,233100,114.38,114.38,114.38,114.38,4
20010102,233400,114.38,114.39,114.38,114.39,4
20010102,233500,114.4,114.4,114.4,114.4,4
20010102,233600,114.41,114.41,114.41,114.41,4
20010102,233700,114.4,114.4,114.4,114.4,4
20010102,233800,114.39,114.4,114.39,114.4,4
20010102,233900,114.4,114.4,114.39,114.39,4
20010102,234000,114.39,114.39,114.39,114.39,4
20010102,234100,114.39,114.39,114.39,114.39,4
20010102,234200,114.39,114.39,114.39,114.39,4
20010102,234600,114.41,114.41,114.41,114.41,4
20010102,234700,114.41,114.41,114.41,114.41,4
20010102,234800,114.4,114.4,114.4,114.4,4
20010102,235100,114.4,114.4,114.4,114.4,4
20010102,235200,114.4,114.41,114.4,114.41,4
20010102,235300,114.41,114.41,114.4,114.4,4
20010102,235400,114.4,114.4,114.4,114.4,4
20010102,235500,114.4,114.42,114.4,114.42,4
20010102,235600,114.42,114.43,114.42,114.43,4
20010102,235700,114.43,114.43,114.43,114.43,4
20010103,0,114.42,114.42,114.42,114.42,4
20010103,300,114.4,114.4,114.4,114.4,4
20010103,400,114.41,114.43,114.41,114.43,4
20010103,500,114.43,114.43,114.43,114.43,4
20010103,600,114.43,114.43,114.43,114.43,4
20010103,800,114.42,114.42,114.42,114.42,4
20010103,900,114.43,114.44,114.43,114.44,4
20010103,1000,114.43,114.43,114.43,114.43,4
20010103,1100,114.42,114.44,114.42,114.44,4
20010103,1200,114.43,114.43,114.43,114.43,4
20010103,1300,114.43,114.43,114.43,114.43,4
20010103,1400,114.43,114.44,114.43,114.44,4
20010103,1600,114.44,114.44,114.44,114.44,4
20010103,1700,114.44,114.44,114.42,114.42,4
20010103,1800,114.42,114.42,114.42,114.42,4
20010103,1900,114.42,114.42,114.39,114.39,4
20010103,2000,114.38,114.38,114.36,114.38,4
20010103,2100,114.38,114.38,114.38,114.38,4
20010103,2200,114.38,114.38,114.38,114.38,4
20010103,2300,114.38,114.39,114.38,114.39,4
20010103,2400,114.39,114.39,114.38,114.38,4
20010103,2500,114.37,114.39,114.37,114.39,4
20010103,2600,114.39,114.39,114.39,114.39,4
20010103,2700,114.39,114.42,114.39,114.42,4
20010103,2800,114.42,114.42,114.42,114.42,4
20010103,2900,114.42,114.42,114.42,114.42,4
20010103,3000,114.42,114.43,114.42,114.43,4
20010103,3100,114.43,114.44,114.43,114.44,4
20010103,3200,114.44,114.44,114.44,114.44,4
20010103,3300,114.44,114.44,114.44,114.44,4
20010103,3400,114.44,114.44,114.44,114.44,4
20010103,3500,114.44,114.44,114.44,114.44,4
20010103,3600,114.44,114.44,114.44,114.44,4
20010103,3700,114.44,114.44,114.44,114.44,4
20010103,3800,114.44,114.44,114.44,114.44,4
20010103,3900,114.43,114.43,114.42,114.42,4
20010103,4000,114.42,114.42,114.42,114.42,4
20010103,4100,114.42,114.42,114.42,114.42,4
20010103,4200,114.42,114.44,114.42,114.44,4
20010103,4300,114.44,114.44,114.44,114.44,4
20010103,4400,114.44,114.44,114.44,114.44,4
20010103,4500,114.44,114.44,114.44,114.44,4
20010103,4600,114.44,114.44,114.44,114.44,4
20010103,4700,114.44,114.44,114.44,114.44,4
20010103,4800,114.44,114.44,114.44,114.44,4
20010103,4900,114.45,114.45,114.45,114.45,4
20010103,5000,114.45,114.45,114.45,114.45,4
20010103,5100,114.45,114.45,114.45,114.45,4
20010103,5200,114.46,114.47,114.46,114.47,4
20010103,5300,114.47,114.47,114.46,114.47,4
20010103,5400,114.47,114.47,114.47,114.47,4
20010103,5500,114.47,114.47,114.47,114.47,4
20010103,5600,114.47,114.47,114.43,114.44,4
20010103,5700,114.44,114.44,114.44,114.44,4
20010103,5800,114.44,114.44,114.44,114.44,4
20010103,5900,114.44,114.44,114.44,114.44,4
20010103,10100,114.44,114.44,114.44,114.44,4
20010103,10200,114.44,114.44,114.44,114.44,4
20010103,10300,114.44,114.44,114.44,114.44,4
20010103,10400,114.44,114.44,114.44,114.44,4
20010103,10500,114.44,114.44,114.44,114.44,4
20010103,10600,114.44,114.44,114.44,114.44,4
20010103,10700,114.44,114.44,114.44,114.44,4
20010103,10800,114.44,114.44,114.44,114.44,4
20010103,10900,114.45,114.45,114.44,114.44,4
20010103,11000,114.44,114.44,114.44,114.44,4
20010103,11100,114.44,114.44,114.44,114.44,4
20010103,11200,114.44,114.44,114.44,114.44,4
20010103,11300,114.43,114.44,114.43,114.44,4
20010103,11400,114.44,114.44,114.44,114.44,4
20010103,11500,114.44,114.44,114.44,114.44,4
20010103,11600,114.44,114.44,114.44,114.44,4
20010103,11700,114.44,114.44,114.41,114.41,4
20010103,11800,114.41,114.41,114.39,114.39,4
20010103,11900,114.39,114.4,114.39,114.4,4
20010103,12000,114.4,114.4,114.4,114.4,4
20010103,12100,114.4,114.4,114.4,114.4,4
20010103,12200,114.4,114.4,114.4,114.4,4
20010103,12300,114.4,114.4,114.4,114.4,4
20010103,12500,114.4,114.41,114.4,114.41,4
20010103,12600,114.41,114.42,114.41,114.42,4
20010103,12700,114.42,114.42,114.42,114.42,4
20010103,12800,114.42,114.42,114.42,114.42,4
20010103,12900,114.42,114.42,114.42,114.42,4
20010103,13000,114.42,114.42,114.42,114.42,4
20010103,13100,114.43,114.44,114.43,114.44,4
20010103,13200,114.44,114.44,114.44,114.44,4
20010103,13300,114.44,114.44,114.44,114.44,4
20010103,13400,114.44,114.44,114.44,114.44,4
20010103,13500,114.44,114.44,114.44,114.44,4
20010103,13600,114.44,114.44,114.44,114.44,4
20010103,13800,114.44,114.44,114.44,114.44,4
20010103,13900,114.45,114.45,114.45,114.45,4
20010103,14000,114.45,114.45,114.44,114.45,4
20010103,14100,114.45,114.45,114.45,114.45,4
20010103,14200,114.45,114.45,114.45,114.45,4
20010103,14300,114.45,114.45,114.45,114.45,4
20010103,14400,114.45,114.45,114.45,114.45,4
20010103,14500,114.45,114.45,114.45,114.45,4
20010103,14600,114.45,114.45,114.45,114.45,4
20010103,14700,114.45,114.45,114.45,114.45,4
20010103,14800,114.45,114.45,114.45,114.45,4
20010103,15000,114.45,114.45,114.45,114.45,4
20010103,15100,114.44,114.44,114.44,114.44,4
20010103,15200,114.44,114.44,114.44,114.44,4
20010103,15400,114.44,114.44,114.44,114.44,4
20010103,15500,114.43,114.43,114.43,114.43,4
20010103,15700,114.43,114.43,114.43,114.43,4
20010103,15800,114.43,114.43,114.43,114.43,4
20010103,15900,114.44,114.44,114.44,114.44,4
20010103,20000,114.44,114.44,114.44,114.44,4
20010103,20100,114.44,114.44,114.44,114.44,4
20010103,20200,114.44,114.44,114.44,114.44,4
20010103,20300,114.44,114.44,114.44,114.44,4
20010103,20400,114.44,114.44,114.44,114.44,4
20010103,20500,114.44,114.44,114.44,114.44,4
20010103,20600,114.44,114.44,114.44,114.44,4
20010103,20700,114.44,114.44,114.44,114.44,4
20010103,20800,114.44,114.44,114.44,114.44,4
20010103,20900,114.44,114.44,114.44,114.44,4
20010103,21000,114.44,114.44,114.44,114.44,4
20010103,21100,114.44,114.44,114.44,114.44,4
20010103,21200,114.44,114.44,114.44,114.44,4
20010103,21400,114.44,114.44,114.44,114.44,4
20010103,21500,114.44,114.44,114.44,114.44,4
20010103,21600,114.44,114.44,114.44,114.44,4
20010103,21700,114.44,114.44,114.44,114.44,4
20010103,21800,114.44,114.44,114.44,114.44,4
20010103,22000,114.44,114.44,114.44,114.44,4
20010103,22200,114.44,114.44,114.44,114.44,4
20010103,22300,114.44,114.45,114.44,114.44,4
20010103,22400,114.44,114.45,114.44,114.44,4
20010103,22500,114.44,114.44,114.44,114.44,4
20010103,22700,114.44,114.44,114.44,114.44,4
20010103,22800,114.44,114.45,114.44,114.45,4
20010103,22900,114.45,114.45,114.45,114.45,4
20010103,23000,114.45,114.45,114.44,114.44,4
20010103,23100,114.44,114.44,114.44,114.44,4
20010103,23200,114.44,114.44,114.44,114.44,4
20010103,23300,114.44,114.45,114.44,114.45,4
20010103,23400,114.45,114.45,114.45,114.45,4
20010103,23500,114.45,114.45,114.45,114.45,4
20010103,23600,114.46,114.47,114.46,114.47,4
20010103,23700,114.47,114.47,114.47,114.47,4
20010103,23800,114.47,114.47,114.47,114.47,4
20010103,23900,114.47,114.47,114.47,114.47,4
20010103,24000,114.47,114.48,114.47,114.48,4
20010103,24100,114.48,114.48,114.48,114.48,4
20010103,24200,114.48,114.48,114.48,114.48,4
20010103,24300,114.48,114.48,114.48,114.48,4
20010103,24400,114.49,114.5,114.49,114.5,4
20010103,24500,114.5,114.53,114.5,114.53,4
20010103,24600,114.53,114.54,114.53,114.54,4
20010103,24700,114.54,114.56,114.54,114.55,4
20010103,24800,114.56,114.56,114.56,114.56,4
20010103,24900,114.57,114.58,114.56,114.58,4
20010103,25000,114.58,114.58,114.58,114.58,4
20010103,25100,114.57,114.57,114.56,114.56,4
20010103,25200,114.56,114.56,114.56,114.56,4
20010103,25300,114.56,114.56,114.56,114.56,4
20010103,25400,114.56,114.56,114.56,114.56,4
20010103,25500,114.56,114.58,114.56,114.58,4
20010103,25600,114.57,114.58,114.57,114.58,4
20010103,25700,114.57,114.57,114.56,114.56,4
20010103,25800,114.56,114.58,114.56,114.58,4
20010103,25900,114.57,114.57,114.56,114.56,4
20010103,30000,114.56,114.57,114.56,114.57,4
20010103,30100,114.57,114.58,114.57,114.58,4
20010103,30200,114.58,114.58,114.58,114.58,4
20010103,30300,114.58,114.58,114.58,114.58,4
20010103,30400,114.58,114.58,114.58,114.58,4
20010103,30500,114.58,114.58,114.58,114.58,4
20010103,30600,114.58,114.58,114.58,114.58,4
20010103,30700,114.58,114.58,114.56,114.56,4
20010103,30800,114.56,114.56,114.56,114.56,4
20010103,30900,114.56,114.56,114.56,114.56,4
20010103,31000,114.56,114.56,114.56,114.56,4
20010103,31100,114.56,114.56,114.56,114.56,4
20010103,31200,114.56,114.56,114.56,114.56,4
20010103,31300,114.56,114.56,114.56,114.56,4
20010103,31400,114.56,114.56,114.56,114.56,4
20010103,31500,114.56,114.56,114.56,114.56,4
20010103,31600,114.56,114.56,114.56,114.56,4
20010103,31700,114.56,114.56,114.56,114.56,4
20010103,31800,114.55,114.56,114.55,114.56,4
20010103,31900,114.56,114.56,114.56,114.56,4
20010103,32000,114.56,114.56,114.56,114.56,4
20010103,32100,114.56,114.56,114.56,114.56,4
20010103,32200,114.56,114.56,114.56,114.56,4
20010103,32300,114.56,114.56,114.56,114.56,4
20010103,32500,114.56,114.56,114.56,114.56,4
20010103,32600,114.54,114.56,114.52,114.56,4
20010103,32700,114.56,114.56,114.56,114.56,4
20010103,32800,114.56,114.56,114.56,114.56,4
20010103,32900,114.56,114.56,114.56,114.56,4
20010103,33000,114.56,114.56,114.56,114.56,4
20010103,33100,114.54,114.55,114.54,114.55,4
20010103,33300,114.55,114.55,114.55,114.55,4
20010103,33500,114.56,114.56,114.54,114.54,4
20010103,33600,114.54,114.54,114.54,114.54,4
20010103,33700,114.54,114.54,114.54,114.54,4
20010103,33900,114.54,114.54,114.53,114.53,4
20010103,34000,114.53,114.53,114.53,114.53,4
20010103,34100,114.53,114.53,114.53,114.53,4
20010103,34200,114.53,114.53,114.53,114.53,4
20010103,34300,114.53,114.53,114.53,114.53,4
20010103,34400,114.53,114.53,114.53,114.53,4
20010103,34500,114.53,114.53,114.53,114.53,4
20010103,34600,114.53,114.54,114.53,114.54,4
20010103,34700,114.54,114.54,114.54,114.54,4
20010103,34800,114.54,114.54,114.54,114.54,4
20010103,34900,114.54,114.54,114.54,114.54,4
20010103,35000,114.54,114.54,114.54,114.54,4
20010103,35100,114.54,114.54,114.54,114.54,4
20010103,35200,114.54,114.54,114.54,114.54,4
20010103,35300,114.54,114.54,114.54,114.54,4
20010103,35400,114.55,114.56,114.55,114.56,4
20010103,35500,114.56,114.56,114.56,114.56,4
20010103,35600,114.56,114.56,114.56,114.56,4
20010103,35700,114.56,114.56,114.56,114.56,4
20010103,35800,114.56,114.56,114.56,114.56,4
20010103,35900,114.56,114.58,114.56,114.58,4
20010103,40000,114.58,114.58,114.58,114.58,4
20010103,40100,114.58,114.58,114.58,114.58,4
20010103,40200,114.58,114.58,114.58,114.58,4
20010103,40300,114.58,114.58,114.58,114.58,4
20010103,40400,114.58,114.58,114.58,114.58,4
20010103,40500,114.58,114.59,114.58,114.59,4
20010103,40600,114.6,114.6,114.58,114.58,4
20010103,40700,114.58,114.58,114.58,114.58,4
20010103,40800,114.58,114.58,114.58,114.58,4
20010103,40900,114.58,114.58,114.58,114.58,4
20010103,41000,114.58,114.58,114.58,114.58,4
20010103,41100,114.58,114.58,114.58,114.58,4
20010103,41200,114.57,114.57,114.56,114.56,4
20010103,41300,114.57,114.58,114.57,114.58,4
20010103,41400,114.58,114.58,114.58,114.58,4
20010103,41500,114.58,114.58,114.58,114.58,4
20010103,41600,114.58,114.58,114.58,114.58,4
20010103,41700,114.58,114.58,114.58,114.58,4
20010103,41800,114.58,114.58,114.56,114.56,4
20010103,41900,114.56,114.57,114.56,114.56,4
20010103,42000,114.56,114.56,114.56,114.56,4
20010103,42200,114.56,114.56,114.56,114.56,4
20010103,42300,114.56,114.56,114.56,114.56,4
20010103,42400,114.56,114.56,114.56,114.56,4
20010103,42500,114.56,114.56,114.55,114.56,4
20010103,42600,114.56,114.56,114.56,114.56,4
20010103,42700,114.56,114.56,114.56,114.56,4
20010103,42800,114.56,114.56,114.56,114.56,4
20010103,42900,114.56,114.56,114.56,114.56,4
20010103,43000,114.56,114.56,114.56,114.56,4
20010103,43100,114.56,114.56,114.56,114.56,4
20010103,43200,114.56,114.56,114.56,114.56,4
20010103,43300,114.56,114.56,114.55,114.55,4
