<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,26 ema,12 ema,MACD,Signal Line,Signal Line Crossover,Centerline Crossover,Signal MACD
USDJPY,20010102,230300,114.43,114.43,114.43,114.43,4,114.43,114.43,0.0,0.0,0,0,0
USDJPY,20010102,230400,114.44,114.44,114.44,114.44,4,114.43074074074075,114.43153846153847,0.000797720797720558,0.0001595441595441116,1,1,1
USDJPY,20010102,230500,114.44,114.44,114.44,114.44,4,114.43142661179698,114.43284023668639,0.0014136248894089931,0.0004103603055170879,1,1,0
USDJPY,20010102,230700,114.44,114.44,114.44,114.44,4,114.4320616775898,114.43394173873463,0.001880061144831302,0.0007043004733799308,1,1,0
USDJPY,20010102,230800,114.44,114.44,114.44,114.44,4,114.43264970147203,114.4348737789293,0.0022240774572708233,0.0010082558701581092,1,1,0
USDJPY,20010102,230900,114.44,114.44,114.44,114.44,4,114.43319416802966,114.43566242832479,0.0024682602951315857,0.0013002567551528045,1,1,0
USDJPY,20010102,231100,114.44,114.45,114.44,114.45,4,114.4344390444719,114.43786820858253,0.0034291641106278803,0.0017260382262478198,1,1,0
USDJPY,20010102,231200,114.45,114.45,114.45,114.45,4,114.43559170784435,114.43973463803138,0.004142930187029492,0.0022094166184041543,1,1,0
USDJPY,20010102,231300,114.45,114.45,114.43,114.43,4,114.43517750726329,114.43823700141117,0.0030594941478767623,0.0023794321242986763,1,1,0
USDJPY,20010102,231400,114.42,114.42,114.41,114.41,4,114.43331250672526,114.43389284734792,0.000580340622661879,0.002019613823971317,-1,1,-1
USDJPY,20010102,231500,114.41,114.41,114.4,114.4,4,114.4308449136345,114.42867856314055,-0.002166350493951086,0.0011824209603868365,-1,-1,0
USDJPY,20010102,231600,114.4,114.4,114.39,114.39,4,114.42781936447639,114.42272801496507,-0.005091349511317844,-7.23331339540996e-05,-1,-1,0
USDJPY,20010102,232000,114.39,114.39,114.38,114.38,4,114.42427718932998,114.41615447420122,-0.008122715128763502,-0.0016824095329159802,-1,-1,0
USDJPY,20010102,232100,114.38,114.38,114.38,114.38,4,114.42099739752776,114.41059224740103,-0.010405150126729268,-0.0034269576516786377,-1,-1,0
USDJPY,20010102,232200,114.38,114.39,114.38,114.39,4,114.41870129400718,114.40742420933933,-0.011277084667852932,-0.004996983054913497,-1,-1,0
USDJPY,20010102,232300,114.39,114.39,114.39,114.39,4,114.41657527222887,114.40474356174866,-0.011831710480208812,-0.006363928539972561,-1,-1,0
USDJPY,20010102,232400,114.4,114.4,114.4,114.4,4,114.415347474286,114.40401378301809,-0.011333691267907398,-0.007357881085559528,-1,-1,0
USDJPY,20010102,232500,114.39,114.39,114.38,114.38,4,114.4127291428574,114.40031935486145,-0.012409787995949273,-0.008368262467637479,-1,-1,0
