<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,RSI,Signal RSI
USDJPY,20010102,230300,114.43,114.43,114.43,114.43,4,,
USDJPY,20010102,230400,114.44,114.44,114.44,114.44,4,,
USDJPY,20010102,230500,114.44,114.44,114.44,114.44,4,,
USDJPY,20010102,230700,114.44,114.44,114.44,114.44,4,,
USDJPY,20010102,230800,114.44,114.44,114.44,114.44,4,,
USDJPY,20010102,230900,114.44,114.44,114.44,114.44,4,,
USDJPY,20010102,231100,114.44,114.45,114.44,114.45,4,,
USDJPY,20010102,231200,114.45,114.45,114.45,114.45,4,,
USDJPY,20010102,231300,114.45,114.45,114.43,114.43,4,,
USDJPY,20010102,231400,114.42,114.42,114.41,114.41,4,,
USDJPY,20010102,231500,114.41,114.41,114.4,114.4,4,,
USDJPY,20010102,231600,114.4,114.4,114.39,114.39,4,,
USDJPY,20010102,232000,114.39,114.39,114.38,114.38,4,,
USDJPY,20010102,232100,114.38,114.38,114.38,114.38,4,,
USDJPY,20010102,232200,114.38,114.39,114.38,114.39,4,29.99999999999858,0.0
USDJPY,20010102,232300,114.39,114.39,114.39,114.39,4,29.99999999999858,0.0
USDJPY,20010102,232400,114.4,114.4,114.4,114.4,4,37.274655355250715,1.0
USDJPY,20010102,232500,114.39,114.39,114.38,114.38,4,30.45724188495545,0.0
USDJPY,20010102,232600,114.38,114.38,114.38,114.38,4,30.45724188495545,0.0
USDJPY,20010102,232700,114.38,114.38,114.38,114.38,4,30.45724188495545,0.0
USDJPY,20010102,232800,114.37,114.37,114.37,114.37,4,27.33511236439432,0.0
USDJPY,20010102,232900,114.37,114.38,114.37,114.38,4,34.559359103999455,1.0
USDJPY,20010102,233000,114.38,114.38,114.38,114.38,4,34.559359103999455,0.0
USDJPY,20010102,233100,114.38,114.38,114.38,114.38,4,34.559359103999455,0.0
USDJPY,20010102,233400,114.38,114.39,114.38,114.39,4,41.78767256697916,0.0
USDJPY,20010102,233500,114.4,114.4,114.4,114.4,4,47.97605824156701,0.0
USDJPY,20010102,233600,114.41,114.41,114.41,114.41,4,53.32017912016495,0.0
USDJPY,20010102,233700,114.4,114.4,114.4,114.4,4,48.00911657407437,0.0
USDJPY,20010102,233800,114.39,114.4,114.39,114.4,4,48.00911657407437,0.0
USDJPY,20010102,233900,114.4,114.4,114.39,114.39,4,43.03741183190819,0.0
USDJPY,20010102,234000,114.39,114.39,114.39,114.39,4,43.03741183190818,0.0
USDJPY,20010102,234100,114.39,114.39,114.39,114.39,4,43.03741183190818,0.0
USDJPY,20010102,234200,114.39,114.39,114.39,114.39,4,43.03741183190818,0.0
USDJPY,20010102,234600,114.41,114.41,114.41,114.41,4,55.44856288824042,0.0
USDJPY,20010102,234700,114.41,114.41,114.41,114.41,4,55.44856288824042,0.0
USDJPY,20010102,234800,114.4,114.4,114.4,114.4,4,49.228709219173865,0.0
USDJPY,20010102,235100,114.4,114.4,114.4,114.4,4,49.228709219173865,0.0
USDJPY,20010102,235200,114.4,114.41,114.4,114.41,4,55.07341492250029,0.0
USDJPY,20010102,235300,114.41,114.41,114.4,114.4,4,48.99885204069417,0.0
USDJPY,20010102,235400,114.4,114.4,114.4,114.4,4,48.99885204069416,0.0
USDJPY,20010102,235500,114.4,114.42,114.4,114.42,4,59.38889216685736,0.0
USDJPY,20010102,235600,114.42,114.43,114.42,114.43,4,63.40340325330724,0.0
USDJPY,20010102,235700,114.43,114.43,114.43,114.43,4,63.403403253307246,0.0
USDJPY,20010103,0,114.42,114.42,114.42,114.42,4,56.88212132751721,0.0
USDJPY,20010103,300,114.4,114.4,114.4,114.4,4,46.56624155833863,0.0
USDJPY,20010103,400,114.41,114.43,114.41,114.43,4,58.67326806197875,0.0
USDJPY,20010103,500,114.43,114.43,114.43,114.43,4,58.67326806197875,0.0
USDJPY,20010103,600,114.43,114.43,114.43,114.43,4,58.67326806197875,0.0
USDJPY,20010103,800,114.42,114.42,114.42,114.42,4,53.61564881132032,0.0
USDJPY,20010103,900,114.43,114.44,114.43,114.44,4,60.87890741418624,0.0
USDJPY,20010103,1000,114.43,114.43,114.43,114.43,4,56.14493933085284,0.0
USDJPY,20010103,1100,114.42,114.44,114.42,114.44,4,59.53366945996682,0.0
USDJPY,20010103,1200,114.43,114.43,114.43,114.43,4,54.960156521120304,0.0
USDJPY,20010103,1300,114.43,114.43,114.43,114.43,4,54.960156521120304,0.0
USDJPY,20010103,1400,114.43,114.44,114.43,114.44,4,58.64473207034536,0.0
USDJPY,20010103,1600,114.44,114.44,114.44,114.44,4,58.64473207034536,0.0
